instrument,instrumentLabel,image
http://www.wikidata.org/entity/Q871633,handbell,http://commons.wikimedia.org/wiki/Special:FilePath/Handbells%20Whitechapel.jpg
http://www.wikidata.org/entity/Q901239,sarrusophone,http://commons.wikimedia.org/wiki/Special:FilePath/Soprano%20Sarrusophone%20in%20B-flat%20MET%20mus350a.jpeg
http://www.wikidata.org/entity/Q902984,Wagner tuba,http://commons.wikimedia.org/wiki/Special:FilePath/Double%20Wagner%20tuba%20by%20Alexander.jpg
http://www.wikidata.org/entity/Q904646,qanun,http://commons.wikimedia.org/wiki/Special:FilePath/Q%C4%81n%C5%ABn%20-%20MET%2089.4.330.jpg
http://www.wikidata.org/entity/Q911038,dulcian,http://commons.wikimedia.org/wiki/Special:FilePath/Dulcians%20Brussels.jpg
http://www.wikidata.org/entity/Q917571,glass harmonica,http://commons.wikimedia.org/wiki/Special:FilePath/Glassharmonica.png
http://www.wikidata.org/entity/Q922337,virginal,http://commons.wikimedia.org/wiki/Special:FilePath/Virginal.jpg
http://www.wikidata.org/entity/Q930342,rainstick,http://commons.wikimedia.org/wiki/Special:FilePath/Rainstick%2001.png
http://www.wikidata.org/entity/Q930827,regal,http://commons.wikimedia.org/wiki/Special:FilePath/Regal%20MET%20DP302650.jpg
http://www.wikidata.org/entity/Q943438,txalaparta,http://commons.wikimedia.org/wiki/Special:FilePath/Two%20txalaparta%20players%20at%20a%20performance%20in%20a%20fiesta.jpg
http://www.wikidata.org/entity/Q946304,Salpinx,http://commons.wikimedia.org/wiki/Special:FilePath/Salpinx%20player%20MAR%20Palermo%20NI1853.jpg
http://www.wikidata.org/entity/Q953846,nail violin,http://commons.wikimedia.org/wiki/Special:FilePath/Nail%20violin%2CBohemia.jpg
http://www.wikidata.org/entity/Q954753,ratchet,http://commons.wikimedia.org/wiki/Special:FilePath/Troccole.jpg
http://www.wikidata.org/entity/Q957212,wood block,http://commons.wikimedia.org/wiki/Special:FilePath/WoodBlock.jpg
